sku,Brand,cat 1 ,cat 2,cat 3,GB,country,discountAggregate,discountPercentage,favourites,initialSearchUrl,mall,originalPrice,originalPrice Rang,discountedPrice,discountedPrice Range,productName,quantitySold,Lifetime Sales,ratingScore,reviewCount,seller,sellerProducts,sellerRatings,sellerResponseRate,sellerResponseTime,shippingFee,shopeeGuarantee,stockAvailable,url,Month
4319587588,No brand,Home Appliances , Large Kitchen Appliances , Water Purifiers,BSH,Malaysia,0,0%,38,,FALSE,188,100 - 500,188,100 - 500,Saemmul S3000 Korea Halal Alkaline & UF Membrane Water Filter,1157,217516,5,19,lawrence27,712,3941,95,6587,0.0 - 3.15,TRUE,4824,https://shopee.com.my/Saemmul-S3000-Korea-Halal-Alkaline-&-UF-Membrane-Water-F-i.25676213.4319587588,March 2020
5516654651,No brand,Home Appliances , Large Kitchen Appliances , Water Purifiers,BSH,Malaysia,0,0%,14,,FALSE,479.88,100 - 500,479.88,100 - 500,Saemmul UF5000L Ultra Filtration UF Membrane Water Filter Purifier Outdoor,152,72941.76,5,4,lawrence27,712,3942,95,6587,0.0 - 4.84,TRUE,322,https://shopee.com.my/Saemmul-UF5000L-Ultra-Filtration-UF-Membrane-Water-Filter-Purifier-Ou-i.25676213.5516654651,March 2020
100201748,Bosch,Home & Living , Home Improvement , Power Tools,PT,Malaysia,0,0%,3260,,TRUE,275.6,100 - 500,275.6,100 - 500,BOSCH GSB 1300 Pro Impact Drill Set (13mm Chuck with 100 Accessories) - 06011A10L1,2454,676322.4,4.938955,1589,boschmy,332,9560,100,3911,0.0 - 6.15,TRUE,260,https://shopee.com.my/BOSCH-GSB-1300-Pro-Impact-Drill-Set-(13mm-Chuck-with-100-Accessories)---06011-i.12851682.100201748,March 2020
2616291452,No brand,Home Appliances , Large Kitchen Appliances , Water Purifiers,BSH,Malaysia,0,0%,153,,FALSE,188,100 - 500,188,100 - 500,S3000 Korea Halal Alkaline & UF Membrane Water Filter,352,66176,4.609756,41,seasonsfilter,730,18446,98,9691,6.5 - 70.0,TRUE,464,https://shopee.com.my/S3000-Korea-Halal-Alkaline-&-UF-Membrane-Water-F-i.51913187.2616291452,March 2020
3616750166,No brand,Home Appliances , Large Kitchen Appliances , Water Purifiers,BSH,Malaysia,0,0%,24,,FALSE,299.88,100 - 500,299.88,100 - 500,Saemmul UF2000L Ultra Filtration UF Membrane Water Filter Purifier Outdoor,212,63574.56,5,4,lawrence27,712,3942,95,6587,0.0 - 3.15,TRUE,298,https://shopee.com.my/Saemmul-UF2000L-Ultra-Filtration-UF-Membrane-Water-Filter-Purifier-Ou-i.25676213.3616750166,March 2020
1837430928,Bosch,Home & Living , Home Improvement , Power Tools,PT,Malaysia,0,0%,1905,,FALSE,254,100 - 500,254,100 - 500,BOSCH GSR 120-Li (GEN 2) CORDLESS DRILL/SCREWDRIVER (12V) MADE IN MALAYSIA,1273,323342,4.949458,831,happyyow,83,5058,99,12343,0.0 - 4.13,TRUE,156,https://shopee.com.my/BOSCH-GSR-120-Li-(GEN-2)-CORDLESS-DRILL/SCREWDRIVER-(12V)-MADE-IN-MAL-i.80183826.1837430928,March 2020
3616750698,No brand,Home Appliances , Large Kitchen Appliances , Water Purifiers,BSH,Malaysia,0,0%,11,,FALSE,550,500 - 1000,550,500 - 1000,Saemmul 6000L/H Ultra Filtration UF Membrane Water Filter SUS304 Stainless Steel,91,50050,5,4,lawrence27,712,3942,95,6587,0.0 - 5.59,TRUE,149,https://shopee.com.my/Saemmul-6000L/H--Ultra-Filtration-UF-Membrane-Water-Filter-SUS304-Stainless--i.25676213.3616750698,March 2020
1839539063,Bosch,Home & Living , Home Improvement , Power Tools,PT,Malaysia,0,0%,755,,FALSE,276.5,100 - 500,276.5,100 - 500,BOSCH GSB 120-Li (12V) {GEN 2} CORDLESS IMPACT DRILL/SCREWDRIVE MADE IN MALAYSIA,817,225900.5,4.92599,581,happyyow,83,5058,99,12343,0.0 - 4.13,TRUE,236,https://shopee.com.my/BOSCH-GSB-120-Li-(12V)-{GEN-2}-CORDLESS-IMPACT-DRILL/SCREWDRIVE-MADE-IN-MAL-i.80183826.1839539063,March 2020
2725329155,No Brand,Home Appliances , Large Kitchen Appliances , Water Purifiers,BSH,Malaysia,0,0%,27,,FALSE,550,500 - 1000,550,500 - 1000,6000L/H Ultra Filtration UF Membrane Water Filter SUS304 Stainless Steel,69,37950,5,12,seasonsfilter,730,18446,98,9691,0.0 - 160.0,TRUE,48,https://shopee.com.my/6000L/H--Ultra-Filtration-UF-Membrane-Water-Filter-SUS304-Stainless--i.51913187.2725329155,March 2020
1396069779,No Brand,Automotive , Car Replacement Parts , Engine Parts,AA,Malaysia,0,0%,225,,FALSE,95,50 - 100,95,50 - 100,Injector toyota Vios ori japan for alza dan myvi,355,33725,4.707143,140,amirulrashid5,20,457,97,31681,0.0 - 4.13,TRUE,295,https://shopee.com.my/Injector-toyota-Vios-ori-japan--for-alza-dan-i.58462009.1396069779,March 2020
